Producto,Categoria,IngredienteAgua,CantidadReceta,Unidad
"AGUA PERSONAL","COMEDOR STAFF","Agua",20000,"?"
"JUGO DE PERSONAL","Producción BAR","Agua",20000,"?"
"Confitado de corozo","PRODUCCION COCINA","Agua",3000,"?"
"ARROZ COMEDOR","COMEDOR STAFF","Agua",2000,"?"
"CAFE PERSONAL","COMEDOR STAFF","Agua",2000,"?"
"FRIJOL REFRITO","PRODUCCION COCINA","Agua",2000,"?"
"Fondo de pescado","PRODUCCION COCINA","Agua",2000,"?"
"ALITAS DE POLLO","COMEDOR STAFF","Agua",1000,"?"
"BOFE","COMEDOR STAFF","Agua",1000,"?"
"FRIJOL ROJO","COMEDOR STAFF","Agua",1000,"?"
"HIGADO","COMEDOR STAFF","Agua",1000,"?"
"LENTEJAS","COMEDOR STAFF","Agua",1000,"?"
"MONDONGO","COMEDOR STAFF","Agua",1000,"?"
"PAPA COCIDA","COMEDOR STAFF","Agua",1000,"?"
"arroz jazmin","PRODUCCION COCINA","Agua",1000,"?"
"costilla de res","PRODUCCION COCINA","Agua",1000,"?"
"CEBOLLA ENCURTIDA","PRODUCCION COCINA","Agua",600,"?"
"HUESO CARNUDO","COMEDOR STAFF","Agua",500,"?"
"fermento de ajo y cebolla","PRODUCCION COCINA","Agua",500,"?"
"Jarra de limonada de Hierbabuena","BEBIDAS","Agua",450,"?"
"Jarra de maracuya","BEBIDAS","Agua",400,"?"
"PASTA TEMPURA","PRODUCCION COCINA","Agua",400,"?"
"LIMONADA HIERBA BUENA","BEBIDAS","Agua",300,"?"
"Sopa para niños","ENTRADAS Y ENSALADAS","Agua",300,"?"
"ADEREZO CESAR","PRODUCCION COCINA","Agua",200,"?"
"AREPAS COMEDOR","COMEDOR STAFF","Agua",200,"?"
"MAYONESA CHIPOTLE","PRODUCCION COCINA","Agua",200,"?"
"MAYONESA DE TRUFA","PRODUCCION COCINA","Agua",200,"?"
"MERMELADA FRUTOS ROJOS","PRODUCCION COCINA","Agua",200,"?"
"PAN PITA","PRODUCCION COCINA","Agua",200,"?"
"POLLO COMEDOR","COMEDOR STAFF","Agua",200,"?"
"POLLO FRITO","COMEDOR STAFF","Agua",200,"?"
"ÑOQUIS DE PAPA","PRODUCCION COCINA","Agua",200,"?"
"salsa panela y chile","PRODUCCION COCINA","Agua",170,"?"
"ARROZ DE COCO","PRODUCCION COCINA","Agua",160,"?"
"AREPAS","MENU - DESAYUNOS","Agua",100,"?"
"CARNE BISTECK","COMEDOR STAFF","Agua",100,"?"
"CARNE MOLIDA","PRODUCCION COCINA","Agua",100,"?"
"CHULETA","PRODUCCION COCINA","Agua",100,"?"
"CAFÉ CON LECHE","BEBIDA CALIENTES - HOT SOFT DRINKS","Agua",60,"?"
"LIMONADA MINERAL","BEBIDAS","Agua",60,"?"
"SALSA HOLANDESA","PRODUCCION COCINA","Agua",60,"?"
"masa pizza","PRODUCCION COCINA","Agua",60,"?"
"Desayuno Costeño","Desayuno","Agua",50,"?"
"Jarra de Piña","Jugos","Agua",50,"?"
"JUGOS TROPICALES","Jugos","Agua",45,"?"
"Cafe con leche","DESAYUNOS -ALMUERZOS -CENA","Agua",20,"?"